scenario,threshold,prop_exceed,se
lower,7.5,0.47856064105656076,0.007476628074118559
lower,10,0.387762453657877,0.0077200784788870914
primary,7.5,0.4661642613074001,0.007900977087122098
primary,10,0.37311273259328354,0.007820011965684038
upper,7.5,0.45646467829273896,0.00825170768034678
upper,10,0.36016929121472485,0.007506111197244276
