outcome,ckm_stage,slope_mmHg_per_yr,se,p_value,p_value_full
sbp_mean,2,0.05396059669048456,0.07550418837941468,0.477002346535631,4.7700234654e-01
sbp_mean,3,-0.5097764499925843,0.22172903101188973,0.024247938553586777,2.4247938554e-02
sbp_mean,4,-0.12923761373415696,0.1205660591181693,0.28714642964924036,2.8714642965e-01
dbp_mean,2,0.5134490626499486,0.062182626310729364,3.5420684099524024e-12,3.5420684100e-12
dbp_mean,3,0.4808312927427147,0.12064637016942928,1.5330778412515393e-4,1.5330778413e-04
dbp_mean,4,0.5486453056651911,0.092980312437003207,9.45895368375414e-8,9.4589536838e-08
