outcome,slope_mmHg_per_yr,se,p_value,p_value_full,significant
sbp_mean,0.017067253930569844,0.06508081226521756,0.7938404678931854,7.9384046789e-01,FALSE
dbp_mean,0.4932150642150644,0.06320536160120149,2.61689842181097e-11,2.6168984218e-11,TRUE
