threshold,pct_above,se,ci_lo,ci_hi,n_denominator,label,suppressed
7.5,34.12290869664806,0.9545264012392292,-152.96426594624086,221.21008333953696,5596,34.1% qualify for pharmacotherapy intensification,TRUE
10,23.423156867944435,0.9272560942131641,-158.31903759783575,205.1653513337246,5596,23.4% qualify for pharmacotherapy intensification,TRUE
