term,PR,CI_low,CI_high,SE_logPR,p_value,p_value_full,model
(Intercept),0.31812783315785814,0.29245011783422914,0.34606010412716165,0.04293835625304546,2.1103907374601397e-38,2.1103907375e-38,M1_demographics
age10,1.0864902327611259,1.073437723587865,1.0997014544446464,0.0061664320808460255,4.3510890110727454e-21,4.3510890111e-21,M1_demographics
sex_fMale,1.1860659981669688,1.141666366234497,1.2321923406114095,0.019465830014830737,7.100667397921941e-13,7.1006673979e-13,M1_demographics
race_eth_fMexican American,0.9317404984224444,0.8794304714144687,0.9871620152121808,0.029479507330284677,0.019139984374798007,1.9139984375e-02,M1_demographics
race_eth_fNon-Hispanic Asian,1.0444616538081033,0.9770848586580936,1.116484547487284,0.03402212408735379,0.20525165124897088,2.0525165125e-01,M1_demographics
race_eth_fNon-Hispanic Black,1.213613437416658,1.1680276575111619,1.2609783390032456,0.01953349890289413,5.7801789529480105e-15,5.7801789529e-15,M1_demographics
race_eth_fOther Hispanic,0.9737554833857651,0.9165352199576887,1.0345480683956894,0.03089782299669968,0.39231888311394614,3.9231888311e-01,M1_demographics
race_eth_fOther/Multi,0.9286782167855349,0.8477536943172714,1.017327598939595,0.046516410265832545,0.11618684641882263,1.1618684642e-01,M1_demographics
