ckm_stage_f,bp_attainedFALSE,prop_attained,se.bp_attainedFALSE,se,n_unwt,ci_low,ci_high,suppress,p_trend_across_stages
2,0.5477195794749823,0.45228042052501766,0.0074312142589613595,0.007431214258961358,13404,0.43771524057745337,0.46684560047258195,FALSE,7.7283175958e-02
3,0.6814717364561191,0.3185282635438808,0.01593826883172765,0.01593826883172765,1380,0.2872892566336946,0.349767270454067,FALSE,7.7283175958e-02
4,0.49685394567318847,0.5031460543268115,0.012629431762316217,0.012629431762316215,2646,0.4783923680726717,0.5278997405809512,FALSE,7.7283175958e-02
