outcome,phenotype,slope_mmHg_per_yr,se,p_value,p_value_full,significant
sbp_mean,Controlled-Treated,-0.17760526457241213,0.05312741763350878,0.00128843743059935,1.2884374306e-03,TRUE
sbp_mean,Uncontrolled-Treated,-0.25426073895072376,0.0961797847401297,0.009959041712667545,9.9590417127e-03,TRUE
sbp_mean,Uncontrolled-Untreated,0.0010276101425641805,0.09387095513469462,0.9912943769287252,9.9129437693e-01,FALSE
dbp_mean,Controlled-Treated,0.18409967196701227,0.05736679388097695,0.0019504796683315298,1.9504796683e-03,TRUE
dbp_mean,Uncontrolled-Treated,0.5809798791701113,0.10640399330849534,5.759524147168526e-7,5.7595241472e-07,TRUE
dbp_mean,Uncontrolled-Untreated,0.5312122782267166,0.06774128604722651,2.2099809537468044e-11,2.2099809537e-11,TRUE
