ckm_stage_f,factor(bp_phenotype)Controlled-Treated,factor(bp_phenotype)Uncontrolled-Treated,factor(bp_phenotype)Uncontrolled-Untreated,se.factor(bp_phenotype)Controlled-Treated,se.factor(bp_phenotype)Uncontrolled-Treated,se.factor(bp_phenotype)Uncontrolled-Untreated
2,0.19462300275444122,0.21820523317347415,0.5871717640720846,0.007839419115819873,0.005086075332784218,0.008421557018302474
3,0.23795262397491407,0.4961643720578201,0.26588300396726594,0.015822424617552046,0.021282854741666263,0.019502174312763104
4,0.37011688614500515,0.4357792098240911,0.19410390403090375,0.013711864770112308,0.014949973298917767,0.012011370815522537
