ckm_stage,n_stage,uacr_vs_a1,PR,ci_lo,ci_hi,p,p_fmt
2,13404,A2,0.9307362600324435,0.8564016772956675,1.0115229905605447,0.09519547306800379,9.5195473068e-02
3,1380,A2,1.219224840924131,1.1038639719767134,1.3466416609870402,2.0573665513627665e-4,2.0573665514e-04
3,1380,A3,1.164975692456634,1.0191635838582689,1.3316491930343046,0.028255704198636045,2.8255704199e-02
4,2646,A2,1.316516672394738,1.1890783023377862,1.4576131321929988,1.2099801957029523e-6,1.2099801957e-06
4,2646,A3,1.7511418657862026,1.5542453384820945,1.9729818441044724,7.645113375046216e-14,7.6451133750e-14
