cycle,year,n_unwt,sbp_mean,sbp_se,sbp_ci_lo,sbp_ci_hi,dbp_mean,dbp_se,dbp_ci_lo,dbp_ci_hi
G,2012,3037,127.24723149690882,0.6348900561090085,126.00284698693517,128.49161600688248,73.96844969838006,0.5999476475503962,72.79255230918127,75.14434708757884
H,2014,3287,127.77107344902203,0.5589376257324975,126.67555570258634,128.86659119545772,72.10422636606084,0.33270198435485687,71.45213047672533,72.75632225539636
I,2016,3276,129.89939813652796,0.5263904685548723,128.8676728181604,130.93112345489553,72.50396569622372,0.6459789883089408,71.23784687913819,73.77008451330924
J,2018,3260,130.32056296281553,0.5301841345343238,129.28140205912825,131.3597238665028,75.29068455014722,0.6398121936223637,74.03665265064738,76.54471644964705
L,2022,3592,126.99174141147282,0.3617115287914671,126.28278681504155,127.70069600790409,77.83667102738232,0.33487229512828615,77.18032132893089,78.49302072583376
